decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2021-09-17,8,0.007050594682755901,0.0065505946827559,0.5,6,1.7472779310880315
2021-09-24,8,0.0153150407761692,0.0148150407761692,0.25,7,1.773163924884401
2021-10-01,8,0.006921170607882679,0.006421170607882679,1.0,7,1.7845497129618269
2021-10-08,8,0.005092799021144762,0.004592799021144761,0.75,6,1.792745791136702
2021-10-22,8,0.0031331874026675616,0.002633187402667561,0.5,7,1.7974664267701084
2021-10-29,8,0.0012877128866272125,0.0007877128866272121,0.25,3,1.7988823142377548
2021-11-12,8,-0.005342590655505602,-0.005842590655505603,0.5,2,1.788372181238235
2021-11-26,8,-0.00418828579743126,-0.00468828579743126,0.5,2,1.7799877813404146
2021-12-03,8,-0.01499408803808705,-0.01549408803808705,0.5,1,1.752408493949607
2021-12-10,8,-0.016183147365177314,-0.016683147365177314,0.5,1,1.7231728048010573
2021-12-17,3,-0.02680143558982236,-0.02813476892315569,0.9090909090909091,0,1.6746917361233136
2021-12-24,2,-0.0419498778726321,-0.043949877872632104,1.2,0,1.6010892388463875
2021-12-31,3,-0.03901476891647763,-0.04034810224981096,0.4,0,1.5364883265263414
2022-01-07,6,-0.015109282089529887,-0.015775948756196558,0.6666666666666666,1,1.5122487654225676
2022-01-14,8,-0.010294305735775222,-0.010794305735775223,0.5714285714285714,2,1.4959250899000478
2022-01-21,1,-0.02518431624747486,-0.02918431624747486,1.5555555555555556,0,1.4522675389938726
2022-01-28,1,-0.02915649396297193,-0.033156493962971934,0.0,0,1.4041154391046022
2022-02-04,4,-0.017949633009778698,-0.0189496330097787,1.2,1,1.3775079668302057
2022-02-11,2,-0.020129471965830037,-0.02212947196583004,0.6666666666666666,0,1.3470244428955291
2022-02-18,8,0.0008823942955881181,0.00038239429558811766,1.6,4,1.3475395373585102
2022-02-25,8,0.006849859698951993,0.006349859698951993,0.75,6,1.3560962243595274
2022-03-04,8,-0.0009696021588142673,-0.0014696021588142677,0.5,4,1.3541033024206486
2022-03-11,8,0.007857590088026153,0.007357590088026153,0.75,5,1.364066239456702
2022-03-25,8,0.01340443273952742,0.012904432739527419,0.25,6,1.381668740496031
2022-04-01,8,0.008145657778631327,0.007645657778631326,0.5,5,1.3922325068492962
2022-04-08,8,0.009304852880833533,0.008804852880833533,0.25,7,1.4044909092480184
2022-04-22,8,0.016754256306933626,0.016254256306933626,0.75,8,1.427319864467694
2022-04-29,8,0.018631001079238027,0.018131001079238027,1.0,8,1.4531986024707757
2022-05-06,8,0.014993877379512494,0.014493877379512493,0.75,8,1.474261084823066
